log_id,timestamp,hostname,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_sent,bytes_received,session_id,threat_flag,rule_name,geo_country
FW000005550,13-Aug-2026 08:43:31,VDR-10532,UNKNOWN,10.236.119,8080,NA,tcp,allow,19151987,37901427,,False,allow_office_apps,US
FW000003795,2026-09-01 13:21:53,LPT-10131,,187.43.222.17,53,89136,other,allow,13534132,-37766444,sid155162,no,BLOCK_EXTERNAL_RDP,
FW000000103,2026-08-07 00:06:51,WS-11895,172.16.20.146,10.45.16,3306,135,tcp,allow,-41216352,,sid707757,False,allow_office_apps,US
FW000007205,2026/09/09,VDR-12357,192.168.236.130,10.25.168,443,3306,tcp,allow,48640070,37243458,SID573563,False,NA,unknown
FW000002333,2026-08-18 06:06:46,WS-10706,999.999.999.999,192.168.112.213,22,,tcp,deny,12134848,13358858,SID957703,no,,unknown
FW000021434,,LPT-11519,172.16.84.74,192.168.227.247,80,3306,other,allow,34503527,NA,sid886065,False,NA,CN
FW000001262,2026-09-05 10:53:14,VDR-12369,192.168.85.,128.124.1.11,443,8080,tcp,allow,,9185651,SID-614010,False,ALLOW_WEB,
FW000024091,08-17-2026 04:59:21 PM,LPT-12094,192.168.46.,177.67.90.203,8080,445,udp,allow,39669420,21945118,SID385749,False,MONITOR_DB_ACCESS,
FW000019689,07/08/2026 22:58,VDR-10838,192.168.115.225,131.250.118.,445,443,other,deny,25831901,46466928,SID336839,False,ALLOW_INTERNAL_DNS,RU
FW000023485,01/08/2026,,172.16.102.124,10.185.181,-2,8443,tcp,allow,41604816,47677863,SID317043,0,block_tor_exit,US
FW000025768,,VDR-10846,10-233.39,,3389,443,other,allow,40220683,14978809,SID152369,False,block_tor_exit,IN
FW000013214,1787956233,LPT-12903,172.16.30.182,163.233.123.29,-3,22,other,allow,37106114,418327,SID137901,True,allow_office_apps,unknown
FW000025954,08-19-2026 01:41:22 AM,WS-11520,10.84.12,172.16.224.120,25,25,tcp,allow,1884600,44256368,SID121656,False,DENY_TELNET,CN
FW000019958,,VDR-11338,172.16.184.223,51.140.42.177,25,1433,tcp,allow,30415767,19285753,SID119837,False,allow_office_apps,US
FW000000669,03/08/2026 15:34,WS-11828,10.48.175,68.218.106.,445,97022,other,allow,44750016,NA,sid653831,False,,US
FW000014992,2026-08-01T19:42:52,WS-11248,10.186.138,999.999.999.999,135,445,other,allow,2697356,5673353,sid627636,False,BLOCK_EXTERNAL_RDP,US
FW000025920,,VDR-10167,10-203.239,,80,8080,udp,deny,-382496,30497841,,False,NA,RU
FW000014157,08-16-2026 02:46:16 PM,LPT-11569,UNKNOWN,68.161.97.183.0,8443,NA,tcp,allow,18698280,1843707,SID-943191,False,ALLOW_WEB,RU
FW000017782,23-Aug-2026 12:31:40,LPT-11726,172.16.160.,172.16.100.91,,80,tcp,allow,NA,35889147,SID689897,True,MONITOR_DB_ACCESS,RU
FW000026229,12-Aug-2026 21:49:05,,UNKNOWN,192.168.93.1,1433,22,udp,allow,32018873,4243571,SID394242,False,DENY_TELNET,US
FW000007569,07/08/2026 04:46,VDR-12588,UNKNOWN,59.65.7.17,-5,8443,tcp,allow,37644725,1119981,NA,N,allow_office_apps,RU
FW000016016,2026-08-01 06:12:15,WS-12909,192.168.159.67,10.238.130,25,8080,other,allow,224016,8145810,SID169070,False,,IN
FW000013925,09/08/2026 20:26,LPT-10356,,192.168.124.198.0,8080,53,other,allow,37027547,-10904701,,False,MONITOR_DB_ACCESS,CN
FW000029929,2026-09-06 00:38:01,LPT-12782,192.168.193.37,105.149.217.203,3306,8443,tcp,allow,28368520,8362930,SID598638,False,DENY_TELNET,RU
FW000007901,06/08/2026 07:02,VDR-10875,145.167.253.27,34.202.81.133,-1,22,tcp,allow,11974391,39116198,SID660961,False,BLOCK_EXTERNAL_RDP,IN
FW000000813,08-20-2026 01:58:02 PM,LPT-12672,10.210.108,219.112.20.138,1433,,tcp,deny,NA,37059574,SID723992,N,,IN
FW000007657,2026-08-11 15:16:39,,172.16.243.201,19.33.120.217,22,8080,udp,allow,45458171,-42682527,SID557387,no,DENY_TELNET,CN
FW000019183,,WS-11819,192.168.17.13,10.26.6.,443,NA,other,deny,6974027,NA,NA,False,DENY_TELNET,US
FW000007450,2026-08-27 03:52:51,WS-11562,10.213.201,172.16.47.124,445,8080,other,allow,19392872,27693721,sid306672,1,allow_office_apps,CN
FW000016317,29/08/2026 12:18,VDR-11227,132.215.71.,192.168.162.,1433,1433,other,allow,13982257,2642411,,no,allow_office_apps,RU
FW000016834,2026-08-25 18:41:01,LPT-12299,,999.999.999.999,NA,92089,udp,deny,16715202,9583984,SID955006,False,NA,IN
FW000021900,2026-08-05T16:14:08,VDR-12493,192.168.26.144,,443,443,udp,allow,34158012,5151665,,False,ALLOW_INTERNAL_DNS,CN
FW000008923,09/08/2026,WS-12674,192.168.90.206,124.82.243.112,,25,other,allow,49510189,NA,SID-664246,False,ALLOW_INTERNAL_DNS,US
FW000008279,05-Sep-2026 11:54:10,LPT-11414,10.148.214,174.4.200.40.0,0,3389,other,allow,NA,12033956,SID290969,True,block_tor_exit,RU
FW000016086,14/08/2026 23:13,LPT-10403,192.168.44.152,89.167.17.245,1433,-1,other,allow,29645941,13125640,SID455715,False,DENY_TELNET,IN
FW000002102,08-11-2026 06:27:02 AM,LPT-12911,200.220.199.132,10.48.117,8443,3306,other,allow,,35462478,SID487136,no,BLOCK_EXTERNAL_RDP,unknown
FW000025363,01/08/2026,LPT-12199,202.184.142.134,UNKNOWN,80,135,tcp,allow,1928551,37253716,SID774095,N,ALLOW_INTERNAL_DNS,IN
FW000027749,2026-08-21T16:09:30,LPT-10853,192.168.69.120,192.168.101.42,53,25,tcp,allow,,21116733,SID944737,0,MONITOR_DB_ACCESS,US
FW000003212,08-14-2026 03:06:03 AM,VDR-10158,172.16.140.77,172.16.37.24,3306,1433,icmp,allow,19915850,8913367,,False,DENY_TELNET,
FW000009748,1787528536,WS-12548,192.168.1.82,172.16.13.97,22,135,tcp,deny,12558576,7022041,SID739874,no,BLOCK_EXTERNAL_RDP,unknown
FW000009351,,VDR-11940,155.38.157.12,135.15.114.75,80,,tcp,allow,27982407,,SID547573,False,,IN
FW000020098,04/08/2026 11:11,,56.216.47.112,,NA,NA,udp,allow,12950910,19740784,SID760196,0,BLOCK_EXTERNAL_RDP,
FW000028887,08-30-2026 03:45:40 PM,VDR-11600,96-77.121.181,114.122.32.37,,443,udp,deny,43414072,45112467,sid229915,True,ALLOW_INTERNAL_DNS,RU
FW000015616,22/08/2026 04:54,VDR-10907,UNKNOWN,999.999.999.999,NA,22,other,allow,29628931,47674024,SID568493,True,MONITOR_DB_ACCESS,IN
FW000009129,05/08/2026 15:27,VDR-12893,UNKNOWN,221.118.199.52,NA,3389,tcp,allow,16588472,2185617,SID392118,False,NA,RU
FW000001248,,LPT-10663,211.79.163.75,117.107.1.107,25,25,other,allow,34812723,NA,SID192011,False,MONITOR_DB_ACCESS,IN
FW000024093,2026-08-22T12:50:22,LPT-10011,192.168.94.216,193.53.13.217,80,53,udp,allow,49303456,26240029,SID591601,False,NA,IN
FW000017419,04/08/2026,LPT-11178,91.33.56.37,172.16.53.245,25,3306,tcp,allow,44120520,39143342,SID416950,False,ALLOW_WEB,CN
FW000021915,1787153070,WS-10971,192.168.233.39,203.23.226.153,25,25,udp,allow,47669698,37516554,SID323215,False,NA,
FW000018631,31/08/2026,LPT-12016,UNKNOWN,113.122.33.,53,3306,tcp,allow,29080322,25385997,NA,no,block_tor_exit,IN
FW000003388,2026-09-04 16:34:59,WS-10175,192.168.248.95,10.176.252.,1433,53,icmp,allow,25929261,28200980,,0,ALLOW_WEB,US
FW000024253,11-Aug-2026 03:28:11,LPT-11981,46.162.85.251,192.168.166.60,80,25,tcp,allow,-35853818,18835701,SID485865,no,NA,CN
FW000004070,08-18-2026 12:40:20 AM,VDR-10792,999.999.999.999,10.140.142.,,445,udp,allow,40120724,37268055,SID970241,False,,
FW000005636,03-Sep-2026 14:34:38,WS-12870,10.215.212,192.168.131.123,445,75349,other,allow,10877132,25474712,SID-235285,False,MONITOR_DB_ACCESS,
FW000021034,2026/08/24,VDR-11081,192.168.19.2,22.223.136.252,,-4,tcp,allow,30618301,47071098,SID758142,False,NA,
FW000019758,2026-08-24T16:20:35,LPT-12207,172.16.32.43.0,58.179.118.38,8443,84213,tcp,allow,NA,,SID199749,True,MONITOR_DB_ACCESS,IN
FW000011401,08-10-2026 02:09:24 PM,,999.999.999.999,31-21.58.30,8443,NA,udp,deny,5304946,44591442,SID626584,False,allow_office_apps,US
FW000024816,2026-08-07 18:00:35,VDR-12071,192.168.66.170,999.999.999.999,445,NA,tcp,allow,43708833,28065853,,False,MONITOR_DB_ACCESS,CN
FW000019080,25/08/2026,LPT-10804,192.168.255.176,192.168.206.7,443,1433,tcp,allow,38100737,NA,SID733573,False,ALLOW_INTERNAL_DNS,US
FW000027907,10/08/2026 02:45,VDR-11594,104.83.120.241,10.56.86,8080,80,tcp,allow,7565101,47382560,SID613332,False,ALLOW_INTERNAL_DNS,RU
FW000003370,1787641151,LPT-10682,10.91.86,182.245.246.137,69539,135,tcp,allow,19634115,15433192,SID-380286,False,MONITOR_DB_ACCESS,IN
FW000022212,01/09/2026,LPT-12427,205.59.187.78,151.193.65.66,53,-5,udp,allow,15007457,-13113864,SID285831,False,BLOCK_EXTERNAL_RDP,IN
FW000000458,1787730748,LPT-11294,192.168.34.85,64.143.50.75.0,NA,-4,tcp,allow,38207959,18576811,SID259176,False,ALLOW_WEB,CN
FW000008766,17-Aug-2026 05:02:39,VDR-11524,192.168.5.67,165.229.209.186.0,135,135,other,allow,48524448,19951520,SID666298,False,DENY_TELNET,unknown
FW000005203,18/08/2026,LPT-12530,10.13.240,141.29.132.23.0,80,NA,tcp,allow,28074860,22936630,SID308980,False,,RU
FW000022850,1788753577,VDR-11771,172.16.200.190,192.168.96.70,25,NA,tcp,allow,48504656,30998919,SID982188,False,NA,US
FW000014603,08-11-2026 07:44:44 PM,LPT-10101,UNKNOWN,UNKNOWN,1433,,other,allow,2675319,NA,sid865417,False,,IN
FW000003533,08-03-2026 08:13:33 AM,,116.149.67.,10-167.253,,-5,tcp,allow,38770171,43457201,SID957846,True,DENY_TELNET,RU
FW000029555,2026-09-05 11:28:45,VDR-10435,11-16.63.251,192.168.226.235,8443,1433,icmp,deny,30335303,40948654,,False,MONITOR_DB_ACCESS,
FW000029660,,WS-12870,172.16.239.20,10.26.17,71378,0,icmp,allow,34101614,48821899,SID107710,True,MONITOR_DB_ACCESS,RU
FW000026021,2026-08-16T05:41:50,VDR-10735,10-32.224,141.15.226.130,8080,53,tcp,allow,20013665,23470243,SID778019,False,DENY_TELNET,US
FW000013091,,LPT-12540,10.118.247.,62.210.189.,1433,8080,tcp,allow,14037661,299553,SID278856,False,UNKNOWN,IN
FW000025211,26/08/2026 10:07,WS-12720,192.168.22.244.0,10.68.163,,53,udp,deny,46013470,47836037,sid868060,no,allow_office_apps,
FW000001400,2026-08-14 21:57:03,,,172.16.27.119,22,53,other,deny,6377725,31243693,SID641237,False,UNKNOWN,IN
FW000014711,07/09/2026,VDR-12156,93.209.56.41,69.96.151.126,443,8443,udp,allow,-22236575,35263553,SID758797,False,,RU
FW000019429,12-Aug-2026 20:51:45,WS-12206,172.16.166.58,10.206.166,80,NA,tcp,allow,47833998,33836640,SID212014,False,NA,IN
FW000029711,08-26-2026 08:56:52 AM,VDR-12986,192.168.214.172,172.16.235.118,-3,NA,other,allow,12246832,5588190,SID154839,False,UNKNOWN,RU
FW000003009,2026/08/04,LPT-10223,55.253.206.143,172.16.60.116.0,80,53,tcp,allow,35705315,46875648,SID915559,Y,DENY_TELNET,US
FW000025846,2026-09-03T06:07:54,LPT-11057,26.112.19.145,999.999.999.999,3389,3306,tcp,allow,-23310000,29336815,SID145379,False,BLOCK_EXTERNAL_RDP,US
FW000013686,2026-08-16T09:14:46,LPT-12029,10.187.238,172.16.213.43,-3,83202,other,allow,8370643,16297759,SID279480,no,BLOCK_EXTERNAL_RDP,RU
FW000029524,,LPT-10944,192.168.60.,192.168.124.232,8080,8080,tcp,allow,-26664064,24718139,SID226764,no,block_tor_exit,CN
FW000007931,2026-08-08 07:57:56,WS-11241,172.16.248.88,10.88.249.0,443,135,other,allow,14145290,-3630846,,False,ALLOW_WEB,
FW000023481,2026-08-08 19:02:13,LPT-10936,UNKNOWN,172.16.57.147,22,53,icmp,deny,29827529,4267704,,False,,IN
FW000028459,08-11-2026 12:34:22 AM,LPT-10490,189.54.194.181,35.138.236.222,97488,3306,other,deny,24134281,35221323,sid886740,N,MONITOR_DB_ACCESS,IN
FW000018227,2026/08/23,LPT-12617,192-168.224.230,UNKNOWN,3389,22,tcp,deny,NA,NA,SID930635,True,DENY_TELNET,IN
FW000028769,07/09/2026 14:52,WS-11633,10.90.190,10.18.137,445,3389,tcp,allow,25252910,,SID475042,False,DENY_TELNET,CN
FW000016769,2026-08-17T13:34:48,VDR-10480,30.242.24.7,UNKNOWN,94231,NA,udp,allow,26065956,26431161,SID173310,N,MONITOR_DB_ACCESS,US
FW000013195,,WS-12344,106.176.207.206,152-13.218.198,135,443,other,allow,49846047,313057,SID-378890,0,MONITOR_DB_ACCESS,
FW000008623,2026-08-04 15:08:38,VDR-10992,172.16.228.50,10.147.167,,53,udp,allow,28983297,5677539,SID983727,False,,CN
FW000001485,08-08-2026 07:18:16 PM,WS-10284,10.44.238,10.11.220,0,22,udp,allow,NA,NA,SID705776,False,UNKNOWN,US
FW000011321,13-Aug-2026 10:26:54,LPT-11062,172.16.5.76,192-168.30.215,3389,22,other,allow,26182942,1780132,SID506262,False,allow_office_apps,IN
FW000016537,1787557509,WS-10232,172.16.51.253,192.168.199.190.0,445,22,udp,allow,,23595540,,False,block_tor_exit,IN
FW000003621,2026-08-25 17:19:46,WS-11430,122.58.83.81,162.213.87.249.0,53,1433,other,allow,33662676,NA,SID205438,0,block_tor_exit,unknown
FW000013298,2026-08-11T02:37:20,VDR-12241,178.179.73.23,123.158.192.243,0,53,tcp,allow,,21119360,sid646004,False,allow_office_apps,CN
FW000022330,1786911537,VDR-12647,10.121.165,10.116.51,,53,other,deny,14186977,27299579,SID267688,False,,CN
FW000029995,2026-08-06 09:40:41,VDR-11796,74.79.122.23,154.229.153.25,8443,80,tcp,allow,13836809,44380135,SID305539,False,ALLOW_WEB,unknown
FW000028804,1788285321,,100-5.239.27,97.96.168.95.0,1433,53,other,allow,38337022,11390977,SID296194,False,DENY_TELNET,IN
FW000029880,01/08/2026 20:21,VDR-12890,999.999.999.999,203.134.75.103,NA,-2,udp,allow,41368342,37675335,,True,DENY_TELNET,US
FW000014633,2026-08-11T16:55:10,LPT-12954,10.0.53,999.999.999.999,53,22,tcp,allow,14793741,21349023,NA,1,block_tor_exit,US
FW000026633,2026-08-21 04:46:35,VDR-12738,97.214.211.91,,93447,3389,udp,allow,15441684,19587533,SID197014,False,ALLOW_WEB,CN
FW000025749,,WS-11207,,10.136.65,25,NA,udp,deny,20120118,13694402,SID545367,N,,US
FW000023543,04/08/2026 04:32,VDR-11932,210.22.20.41,,25,NA,other,deny,39491694,NA,SID486309,False,BLOCK_EXTERNAL_RDP,CN
FW000006562,27/08/2026 00:36,VDR-12384,999.999.999.999,75.100.93.248,135,1433,udp,allow,25277816,-25611319,sid213771,False,allow_office_apps,RU
FW000001945,26/08/2026,LPT-10103,172.16.188.185,172.16.61.57,25,135,tcp,deny,-27432169,18234224,SID729587,False,NA,RU
FW000000240,30/08/2026,VDR-10680,192.168.145.126,94.182.237.63,-1,3389,tcp,allow,15163982,18746737,,True,NA,US
FW000002003,2026-08-25 13:02:01,WS-12410,192.168.46.,10.244.35,-5,445,udp,allow,49725284,NA,,False,MONITOR_DB_ACCESS,CN
FW000023740,1786653572,WS-10784,212.81.94.166,192.168.136.193,3306,443,tcp,deny,28485353,32144553,SID974732,False,ALLOW_INTERNAL_DNS,US
FW000026816,2026-09-03 18:24:13,WS-12918,192.168.1.214,172.16.158.145,3306,8080,udp,allow,42050287,12668060,SID740712,no,ALLOW_WEB,IN
FW000020088,2026-08-04T05:19:50,VDR-10514,172.16.64.72,172.16.191.139,25,135,tcp,allow,48626023,21964496,SID812425,False,NA,
FW000008319,2026-08-21 10:58:04,VDR-11913,UNKNOWN,,3389,80,udp,deny,28349972,34459810,,False,MONITOR_DB_ACCESS,IN
FW000000417,08-28-2026 04:41:07 AM,LPT-11790,,999.999.999.999,443,8443,tcp,deny,32490907,26709321,SID531929,False,block_tor_exit,IN
FW000010991,,VDR-11217,192.168.6.61,,NA,8443,tcp,allow,45608455,18315211,SID491391,False,DENY_TELNET,US
FW000014201,27-Aug-2026 20:04:18,VDR-11237,,10.214.53,-5,NA,udp,allow,14113832,NA,SID136734,False,block_tor_exit,US
FW000009797,2026-08-10T11:10:45,,120.184.50.,,25,443,tcp,deny,15581839,29636188,SID378083,False,ALLOW_WEB,IN
FW000020356,06/08/2026 22:13,LPT-12294,999.999.999.999,999.999.999.999,135,445,tcp,allow,8608808,,SID296743,N,DENY_TELNET,CN
FW000000702,2026-08-27 14:30:27,WS-12724,172.16.176.220,210.21.93.107,92808,NA,tcp,allow,10316384,45002785,SID619531,yes,BLOCK_EXTERNAL_RDP,
FW000028868,2026-08-13 01:45:39,LPT-12475,,10.178.87,25,1433,udp,allow,534773,32463578,SID981332,False,ALLOW_WEB,
FW000023259,04/09/2026,WS-11289,172.16.148.155,10.40.223,3389,69821,tcp,allow,48790384,15051222,SID167551,True,NA,
FW000016907,08-11-2026 09:48:28 AM,LPT-11138,194.31.121.,172.16.76.190,1433,,udp,deny,29026409,-11556228,SID525993,False,MONITOR_DB_ACCESS,CN
FW000020211,1787116756,WS-12234,10.105.115,172.16.227.198,8080,1433,udp,allow,14520971,7501475,SID605562,True,BLOCK_EXTERNAL_RDP,IN
FW000029107,2026-09-04 03:51:34,WS-10334,53.159.20.,172.16.149.154,NA,,tcp,allow,1571833,2428054,SID650459,False,,CN
FW000026359,18-Aug-2026 22:17:57,WS-11467,UNKNOWN,999.999.999.999,8080,80,tcp,allow,23932010,41782387,SID-545848,False,ALLOW_INTERNAL_DNS,US
FW000010297,10/08/2026 01:49,LPT-12729,999.999.999.999,UNKNOWN,8080,72922,tcp,allow,28123118,,SID197908,False,ALLOW_WEB,unknown
FW000029809,19/08/2026,WS-12124,10.157.179.,30.46.192.138,-3,-4,udp,deny,,-6843951,SID-764058,no,DENY_TELNET,US
FW000002407,2026-08-24 01:11:19,VDR-10491,192.168.43.253,999.999.999.999,-4,53,other,allow,,43817170,sid231195,N,allow_office_apps,IN
FW000008346,,VDR-11973,10.35.185,192.168.122.60,22,3389,udp,deny,-42235111,-13316624,SID-109211,no,BLOCK_EXTERNAL_RDP,
FW000020665,16/08/2026,WS-12120,999.999.999.999,85.26.54.63,-4,94820,tcp,allow,35120524,19616674,sid809117,True,MONITOR_DB_ACCESS,CN
FW000021081,2026-09-03T10:49:03,LPT-10428,172.16.241.96.0,192.168.198.144,3306,NA,udp,allow,49986008,37067083,SID238398,0,UNKNOWN,RU
FW000012650,,VDR-11479,10.179.162,91.115.211.4,135,80,tcp,allow,,796429,,False,,IN
FW000027691,2026-08-24 11:57:48,LPT-11561,111-115.177.83,162.129.103.158,70184,,tcp,allow,24878712,42953520,SID-351929,False,ALLOW_INTERNAL_DNS,IN
FW000010005,,LPT-11282,172.16.21.174,999.999.999.999,445,22,other,allow,369062,,SID627055,True,block_tor_exit,unknown
FW000014579,08-24-2026 10:38:59 AM,WS-12433,192.168.44.203,UNKNOWN,22,135,tcp,allow,12142510,,SID139025,False,ALLOW_INTERNAL_DNS,CN
FW000024962,2026-09-05 16:05:17,VDR-11412,209.240.201.121,25.217.223.186,-2,80,tcp,allow,38067777,19012353,SID953832,False,allow_office_apps,IN
FW000000258,17/08/2026,WS-12092,10.255.105,999.999.999.999,NA,8080,tcp,allow,8553800,31907403,SID807445,no,NA,US
FW000010564,2026/08/17,LPT-12252,999.999.999.999,,8443,445,tcp,deny,NA,5822599,SID914628,False,ALLOW_INTERNAL_DNS,RU
FW000018763,30-Aug-2026 18:53:35,LPT-10607,123.251.36.174,UNKNOWN,8443,NA,udp,allow,16892559,17886062,SID453277,False,allow_office_apps,
FW000000336,03/09/2026,WS-10119,192.168.211.192,172.16.103.100,445,25,other,allow,35099833,13595699,,True,allow_office_apps,US
FW000023832,09/08/2026 09:32,WS-10211,192.168.220.5,74.151.69.3,1433,94762,other,allow,,,SID204901,False,ALLOW_WEB,US
FW000016707,2026-08-30 07:48:38,WS-12266,999.999.999.999,197.156.112.111,53,445,tcp,allow,16875242,18265522,SID914918,False,,CN
FW000002375,03-Sep-2026 08:34:45,VDR-10108,192.168.100.251,109.94.247.114,8443,8080,tcp,deny,1798195,38979907,SID755983,False,MONITOR_DB_ACCESS,CN
FW000025029,23/08/2026 03:42,,158.61.215.155,10.208.205,8443,,tcp,allow,,,sid672051,False,block_tor_exit,
FW000029699,2026/08/21,WS-12733,172.16.131.91,204.208.86.6.0,22,443,tcp,deny,10590845,NA,,False,,CN
FW000026636,16-Aug-2026 17:23:11,LPT-12207,10-168.201,172.16.240.,NA,443,tcp,allow,24806145,28010564,SID-343424,False,ALLOW_WEB,unknown
FW000026488,1787508035,VDR-11145,,999.999.999.999,NA,-3,tcp,deny,7430849,40108267,SID435385,True,ALLOW_WEB,
FW000006608,1785832172,LPT-12315,96.232.220.,120.220.79.212,22,80,udp,deny,5656739,3014815,,False,,CN
FW000028701,2026-09-06 14:33:19,WS-11688,999.999.999.999,10.133.187,135,53,tcp,allow,30656030,,,False,BLOCK_EXTERNAL_RDP,IN
FW000004246,2026-08-05 20:17:40,,,28.147.209.123,25,80,other,allow,49156064,24375590,SID476478,False,DENY_TELNET,IN
FW000001225,,LPT-11830,137.245.120.152,187.160.230.32,3389,22,tcp,allow,10156728,47589682,SID480386,no,NA,CN
FW000025111,01-Sep-2026 00:01:52,VDR-10164,192.168.17.63.0,10.37.232.,3389,,other,allow,48790662,21950514,,False,UNKNOWN,
FW000020097,14/08/2026 20:46,WS-11823,133.87.201.184,172.16.248.241,8443,94434,tcp,deny,48649540,30031216,SID301844,False,NA,IN
FW000000639,2026/08/28,LPT-11290,,10.36.171,445,-5,other,allow,45656676,24034177,SID555128,N,MONITOR_DB_ACCESS,IN
FW000004705,03/08/2026,,10.169.169,172.16.221.106,3306,-5,tcp,allow,20534929,NA,,1,block_tor_exit,
FW000013694,1788132279,LPT-11140,172.16.96.79,172.16.90.80,1433,135,other,allow,18559051,21433808,SID451103,N,NA,RU
FW000007734,04/08/2026,VDR-10267,,192.168.216.87,,8443,other,deny,5843242,31446794,sid127917,False,block_tor_exit,CN
FW000007316,22/08/2026,VDR-12019,999.999.999.999,10.78.159.,443,1433,other,allow,,-6493538,SID343120,N,,US
FW000007692,2026/09/07,LPT-12600,172-16.192.12,,68086,25,other,allow,17479761,45220214,SID364373,False,UNKNOWN,US
FW000005131,2026-08-08T02:27:56,LPT-11034,34.24.67.,10.194.89,8080,22,tcp,allow,39492075,14232881,sid324405,False,MONITOR_DB_ACCESS,RU
FW000021541,23/08/2026,LPT-10490,192.168.196.158,119.103.100.224.0,NA,135,tcp,deny,-24959610,18234978,SID624947,False,allow_office_apps,RU
FW000029969,20/08/2026 20:26,LPT-11244,57.25.210.232,141.238.227.171,1433,8443,tcp,allow,,36842798,SID447383,no,UNKNOWN,RU
FW000004822,08-16-2026 02:03:36 PM,VDR-12978,10.142.200,999.999.999.999,8080,80539,tcp,allow,NA,NA,,N,MONITOR_DB_ACCESS,IN
FW000022777,1788252319,VDR-12247,10.40.246,UNKNOWN,25,3306,other,deny,NA,26639988,SID-843653,False,MONITOR_DB_ACCESS,US
FW000017498,31-Aug-2026 20:38:23,LPT-10321,172-16.137.36,10.142.142,53,3306,tcp,allow,NA,,SID461216,False,ALLOW_INTERNAL_DNS,CN
FW000003985,2026/09/06,,172.93.3.150,29.215.121.137.0,80,NA,other,allow,10755246,43768642,SID-767139,False,BLOCK_EXTERNAL_RDP,IN
FW000007448,2026-08-25 13:00:14,VDR-12498,177.108.207.26,10.24.81,70446,25,tcp,allow,,NA,sid803477,False,ALLOW_INTERNAL_DNS,
FW000009646,1788610218,LPT-12796,206.107.107.116,172.16.47.88,445,8443,tcp,allow,25014063,14275237,SID572670,False,block_tor_exit,IN
FW000025482,2026-09-01 03:33:29,WS-11743,172.16.103.172.0,UNKNOWN,80,-5,tcp,allow,22270257,15648512,SID870965,False,block_tor_exit,RU
FW000003382,2026-09-01T18:37:22,LPT-11993,172.16.44.7,,22,25,other,allow,,43148902,SID458811,N,ALLOW_WEB,CN
FW000027497,2026-08-10T19:10:40,LPT-10065,192.168.112.,10.88.172,3306,445,udp,allow,23092871,48825917,NA,False,,US
FW000011808,2026-08-04 07:42:45,VDR-11587,10-11.221,10.244.96,25,8080,udp,allow,18737325,17266835,SID946940,0,,CN
FW000008501,2026-09-02 04:09:13,LPT-11116,172.16.236.135,,8443,1433,tcp,allow,-48736504,15807396,SID790132,1,BLOCK_EXTERNAL_RDP,US
FW000017384,2026-08-08T23:51:47,LPT-10258,10.150.101,36.13.218.41,3306,25,udp,allow,-29912958,1400576,SID324313,True,ALLOW_WEB,US
FW000003523,2026-08-01 17:50:26,WS-11332,10.253.243,223.230.64.254,3389,,tcp,deny,29504930,44591428,SID703439,False,BLOCK_EXTERNAL_RDP,
FW000025760,09-01-2026 04:32:00 PM,WS-12232,107.158.137.25,192.168.177.118,8080,1433,other,allow,32372014,17940742,SID979571,True,ALLOW_INTERNAL_DNS,IN
FW000020357,03/08/2026 04:53,WS-12097,172.16.79.112,13.145.228.171,3389,3389,other,deny,4959724,45635595,,False,BLOCK_EXTERNAL_RDP,
FW000013827,08/08/2026 14:37,WS-12898,137.105.124.188,UNKNOWN,53,1433,other,deny,27051238,13819256,sid600088,False,DENY_TELNET,
FW000023772,1786372351,VDR-12750,132.92.205.66,192.168.35.,53,53,tcp,allow,28139604,32033996,SID453463,no,BLOCK_EXTERNAL_RDP,CN
FW000016169,27/08/2026 07:48,LPT-12231,999.999.999.999,192.168.160.69.0,8080,,other,allow,37928161,17176859,SID944240,N,allow_office_apps,IN
FW000008461,,VDR-12869,192.168.137.97,172.16.192.90,22,3306,tcp,allow,,27737500,SID753534,False,ALLOW_INTERNAL_DNS,IN
FW000012224,1788939816,WS-11009,172.16.158.8.0,95.169.221.2,8443,443,other,allow,38608724,26522123,SID318993,no,,IN
FW000022898,,LPT-12921,192.168.59.174,192-168.173.225,445,0,other,allow,36440167,31325624,,0,BLOCK_EXTERNAL_RDP,US
FW000012777,,LPT-12899,999.999.999.999,999.999.999.999,53,3306,tcp,deny,18585272,,SID978739,False,block_tor_exit,US
FW000029804,08-04-2026 08:22:47 PM,WS-12799,172.16.255.182,192.168.92.158,1433,NA,tcp,deny,38132588,42273797,,no,NA,CN
FW000019988,,LPT-12228,999.999.999.999,192.168.253.152,66686,8443,tcp,allow,18926796,4463946,SID380034,False,UNKNOWN,RU
FW000003278,1787047023,VDR-10444,192.168.61.175,54.86.218.72,25,445,tcp,deny,39710216,,,False,UNKNOWN,CN
FW000019994,2026-08-09 11:16:36,VDR-11439,172.16.32.195,,3389,8443,udp,allow,24041111,44472877,SID990272,False,DENY_TELNET,IN
FW000014539,08-13-2026 08:16:11 AM,,10.25.120,172.16.218.,8443,135,other,allow,47086738,-42924417,sid668969,False,BLOCK_EXTERNAL_RDP,CN
FW000010040,2026/08/24,VDR-11669,14.161.102.169,,8080,NA,udp,allow,44424121,-8436998,,no,DENY_TELNET,
FW000028239,04/09/2026,LPT-12060,,10-220.129,135,445,other,deny,NA,42331013,SID754610,False,DENY_TELNET,US
